Date/Time,Nits
Tue Dec 15 11:19:51 2020, 155.00
Tue Dec 15 11:19:52 2020, 155.00
Tue Dec 15 11:19:53 2020, 155.00
Tue Dec 15 11:19:54 2020, 155.00
Tue Dec 15 11:19:55 2020, 155.00
Tue Dec 15 11:19:56 2020, 155.00
Tue Dec 15 11:19:57 2020, 155.00
Tue Dec 15 11:19:58 2020, 155.00
Tue Dec 15 11:19:59 2020, 155.00
Tue Dec 15 11:20:00 2020, 155.00
Tue Dec 15 11:20:01 2020, 155.00
Tue Dec 15 11:20:02 2020, 155.00
Tue Dec 15 11:20:03 2020, 155.00
Tue Dec 15 11:20:04 2020, 155.00
Tue Dec 15 11:20:05 2020, 155.00
Tue Dec 15 11:20:06 2020, 155.00
Tue Dec 15 11:20:07 2020, 155.00
Tue Dec 15 11:20:08 2020, 155.00
Tue Dec 15 11:20:09 2020, 155.00
Tue Dec 15 11:20:10 2020, 155.00
Tue Dec 15 11:20:11 2020, 155.00
Tue Dec 15 11:20:12 2020, 155.00
Tue Dec 15 11:20:13 2020, 155.00
Tue Dec 15 11:20:14 2020, 155.00
Tue Dec 15 11:20:15 2020, 155.00
Tue Dec 15 11:20:16 2020, 155.00
Tue Dec 15 11:20:17 2020, 155.00
Tue Dec 15 11:20:18 2020, 155.00
Tue Dec 15 11:20:19 2020, 155.00
Tue Dec 15 11:20:20 2020, 155.00
Tue Dec 15 11:20:21 2020, 155.00
Tue Dec 15 11:20:22 2020, 155.00
Tue Dec 15 11:20:23 2020, 155.00
Tue Dec 15 11:20:24 2020, 155.00
Tue Dec 15 11:20:25 2020, 155.00
Tue Dec 15 11:20:26 2020, 155.00
Tue Dec 15 11:20:27 2020, 155.00
Tue Dec 15 11:20:28 2020, 155.00
Tue Dec 15 11:20:29 2020, 155.00
Tue Dec 15 11:20:30 2020, 155.00
Tue Dec 15 11:20:31 2020, 155.00
Tue Dec 15 11:20:32 2020, 155.00
Tue Dec 15 11:20:33 2020, 155.00
Tue Dec 15 11:20:34 2020, 155.00
Tue Dec 15 11:20:35 2020, 155.00
Tue Dec 15 11:20:36 2020, 155.00
Tue Dec 15 11:20:37 2020, 155.00
Tue Dec 15 11:20:38 2020, 155.00
Tue Dec 15 11:20:39 2020, 155.00
Tue Dec 15 11:20:40 2020, 155.00
